5.568	6.421	5.307				
5.534	6.471	5.221				
5.834	6.44	4.738				
5.971	6.378	4.482				
6.206	6.162	3.935				
6.313	5.808	3.462				
6.224	5.302	3.209				
5.97	4.704	3.274				
5.462	3.8	3.841				
5.297	3.513	4.064				
4.796	2.314	4.765				
4.718	2.007	4.929				
4.611	1.441	5.294				
4.583	1.188	5.522				
4.571	0.73	6.141				
4.568	0.362	7.034				
4.361	0.086	8.693				
4.196	0.073	9.233				
2.586	0.244	11.432				
1.802	0.313	11.989				
1.422	0.368	12.179				
0.714	0.533	12.359				
0.149	0.689	12.422				
-0.266	0.712	12.876				
-0.459	0.575	15.045				
0.077	0.484	17.981				
0.869	0.076	19.268				
0.869	0.076	19.268				
1.111	-0.148	19.268				
1.588	-0.633	19.268				
2.085	-1.11	18.991				
2.514	-1.498	17.841				
2.719	-1.753	14.843				
1.737	-1.183	10.626				
0.869	-0.368	8.854				
0.368	0.137	8.056				
-1.069	1.837	5.865				
-1.571	3.015	4.644				
-1.449	4.224	3.876				
-1.203	4.811	3.68				
-0.394	6.221	3.648				
-0.165	6.858	3.731				
-0.104	7.123	3.66				
0.125	7.679	2.749				
-0.257	8.123	0.253				
-0.785	8.483	-0.985				
-1.14	8.9	-1.951				
-1.236	9.241	-2.606				
-1.24	9.504	-2.947				
-1.149	9.81	-3.083				
-0.953	10.183	-3.199				
-0.701	10.581	-3.471				
-0.447	10.954	-4.013				
-0.302	11.265	-4.817				
-0.248	11.461	-5.743				
-0.158	11.46	-6.624				
0.032	11.283	-7.313				
0.395	10.97	-7.646				
1.034	10.572	-7.479				
1.918	10.249	-6.809				
2.866	10.106	-5.825				
3.668	10.12	-4.789				
4.161	10.164	-3.909				
4.391	10.047	-3.337				
4.644	9.674	-3.073				
5.09	9.067	-2.912				
5.594	8.355	-2.571				
6.063	7.788	-1.887				
6.55	7.468	-0.938				
7.033	7.34	0.053				
7.389	7.342	0.91				
7.482	7.402	1.562				
7.211	7.482	1.986				
6.653	7.561	2.241				
5.963	7.571	2.441				
5.143	7.43	2.679				
4.277	7.221	3.01				
3.592	7.097	3.417				
3.186	7.091	3.87				
3.061	7.212	4.664				
3.118	7.398	5.631				
3.106	7.428	5.936				
3.052	7.225	5.658				
3.05	6.947	5.324				
2.967	6.741	4.992				
2.756	6.681	4.77				
2.476	6.796	4.747				
2.191	6.964	4.799				
2.02	7.072	4.802				
2.063	7.127	4.708				
2.304	7.133	4.565				
2.631	7.114	4.524				
2.902	7.111	4.652				
3.062	7.11	4.837				
3.139	7.02	4.999				
3.117	6.967	5.001				
3	6.838	4.941				
2.832	6.675	4.831				
2.683	6.504	4.708				
2.543	6.301	4.613				
2.361	6.002	4.603				
2.198	5.596	4.702				
2.133	5.117	4.901				
2.143	4.601	5.15				
2.085	4.018	5.429				
1.908	3.403	5.731				
1.623	2.787	5.982				
1.17	2.105	6.204				
0.757	1.437	6.47				
0.592	0.61	6.826				
0.586	0.341	6.924				
0.558	-0.182	7.167				
0.522	-0.663	7.495				
0.435	-1.166	7.934				
0.289	-1.671	8.597				
0.195	-2.091	9.389				
0.202	-2.419	10.089				
0.305	-2.688	10.557				
0.456	-2.909	10.747				
0.372	-3.228	10.696				
0.235	-3.352	10.65				
-0.34	-3.724	10.609				
-0.572	-3.832	10.662				
-1.692	-4.116	11.248				
-2.368	-4.146	11.719				
-3.098	-4.089	12.224				
-3.774	-3.99	12.656				
-4.303	-3.921	12.878				
-4.668	-3.963	12.81				
-4.908	-4.103	12.516				
-5.095	-4.263	12.138				
-5.297	-4.426	11.74				
-5.546	-4.599	11.309				
-5.806	-4.736	10.853				
-6.211	-4.827	10.25				
-6.379	-4.84	10.215				
-6.518	-4.801	10.342				
-6.624	-4.668	10.585				
-6.661	-4.43	10.857				
-6.6	-4.15	11.087				
-6.483	-3.891	11.241				
-6.394	-3.656	11.285				
-6.335	-3.447	11.17				
-6.247	-3.263	10.891				
-6.201	-3.111	10.521				
