-0.017	-0.018	9.774
-0.003	-0.032	9.762
-0.002	-0.032	9.766
-0.003	-0.035	9.778
-0.016	-0.034	9.796
-0.024	-0.013	9.789
-0.032	-0.016	9.81
-0.021	-0.026	9.797
-0.019	-0.029	9.79
-0.02	-0.026	9.792
-0.023	-0.026	9.795
-0.018	-0.03	9.796
-0.014	-0.032	9.795
-0.013	-0.028	9.793
-0.014	-0.028	9.793
-0.034	-0.029	9.793
-0.028	-0.031	9.792
-0.017	-0.032	9.805
-0.017	-0.034	9.821
-0.018	-0.034	9.827
-0.015	-0.034	9.807
-0.041	-0.025	9.817
-0.028	-0.028	9.82
-0.016	-0.024	9.807
-0.007	-0.029	9.783
-0.003	-0.032	9.769
-0.029	-0.031	9.78
-0.034	-0.03	9.798
-0.026	-0.026	9.81
-0.01	-0.023	9.797
-0.01	-0.023	9.782
-0.019	-0.027	9.786
-0.019	-0.031	9.792
-0.015	-0.024	9.784
-0.02	-0.019	9.796
-0.02	-0.023	9.804
-0.019	-0.028	9.786
-0.022	-0.026	9.774
-0.026	-0.029	9.777
-0.023	-0.021	9.806
-0.02	-0.023	9.798
-0.02	-0.022	9.792
-0.015	-0.019	9.791
-0.016	-0.014	9.776
-0.025	-0.021	9.792
-0.024	-0.043	9.809
-0.022	-0.045	9.802
-0.022	-0.031	9.786
-0.021	-0.028	9.797
-0.016	-0.034	9.811
-0.005	-0.032	9.807
-0.002	-0.023	9.798
-0.008	-0.026	9.791
-0.014	-0.032	9.787
-0.023	-0.029	9.783
-0.025	-0.027	9.787
-0.01	-0.026	9.789
-0.007	-0.026	9.793
-0.019	-0.024	9.788
-0.022	-0.023	9.784
-0.017	-0.026	9.791
-0.025	-0.02	9.795
-0.025	-0.016	9.795
-0.024	-0.014	9.792
-0.025	-0.014	9.787
-0.023	-0.021	9.777
-0.025	-0.019	9.773
-0.025	-0.005	9.776
-0.022	0.001	9.78
-0.019	-0.013	9.786
-0.012	-0.028	9.795
-0.013	-0.021	9.795
-0.013	-0.028	9.795
-0.018	-0.017	9.781
-0.029	-0.019	9.783
-0.039	-0.016	9.79
-0.04	-0.018	9.802
-0.017	-0.032	9.793
-0.02	-0.032	9.795
-0.023	-0.031	9.801
-0.027	-0.031	9.789
-0.032	-0.016	9.791
-0.026	-0.024	9.778
-0.028	-0.018	9.802
-0.022	-0.025	9.798
-0.02	-0.029	9.787
-0.02	-0.029	9.787
-0.009	-0.031	9.774
-0.014	-0.029	9.787
-0.008	-0.037	9.793
-0.007	-0.034	9.788
-0.015	-0.025	9.78
-0.019	-0.02	9.786
-0.021	-0.026	9.795
-0.025	-0.037	9.804
-0.031	-0.04	9.803
-0.034	-0.038	9.791
-0.019	-0.031	9.773
-0.026	-0.024	9.782
-0.025	-0.023	9.783
-0.026	-0.022	9.79
-0.037	-0.028	9.798
-0.034	-0.023	9.793
-0.011	-0.024	9.777
-0.009	-0.025	9.777
-0.004	-0.024	9.783
-0.009	-0.02	9.789
-0.011	-0.025	9.793
-0.007	-0.023	9.794
-0.003	-0.017	9.797
-0.015	-0.025	9.795
-0.014	-0.024	9.792
-0.016	-0.019	9.787
-0.023	-0.022	9.789
-0.024	-0.028	9.789
-0.026	-0.03	9.789
-0.017	-0.032	9.792
-0.009	-0.03	9.794
